scheme_name,amfi_code,trading_day,nav_p05,nav_p25,nav_median,nav_p75,nav_p95,starting_nav
ABSL Small Cap Fund - Regular - Growth,101207,0,53.9836,53.9836,53.9836,53.9836,53.9836,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,1,52.5435931995055,53.40143482468126,53.98071918955689,54.565423693844934,55.45263086737802,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,2,52.018732801723345,53.1620857233974,54.00745252418482,54.838012734066055,56.12075752884011,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,3,51.623813514409505,53.01562158908217,54.019602010496,55.04560960772362,56.58248286629615,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,4,51.239562988291745,52.86255445218977,54.01079237246339,55.216076432684396,57.014605439591705,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,5,50.93277586395699,52.72385641514716,54.00590629127555,55.348107054876365,57.34738386701629,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,6,50.64063365020679,52.62578906220515,54.03028774100022,55.460612476625194,57.674137339188626,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,7,50.39556203710277,52.54411680467619,54.04128769811217,55.59293680181124,57.946980862996526,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,8,50.15193383513834,52.430528318622876,54.04997829095019,55.69952144584826,58.23949149095229,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,9,49.958014013266194,52.3251725534691,54.04576821659399,55.813748370451854,58.501025712286,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,10,49.753457980655185,52.23461701510125,54.04065844716415,55.890210001976605,58.761183176154255,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,11,49.503436987097466,52.13265186378016,54.03684479462289,55.971207560279815,59.09148301520173,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,12,49.34321024919892,52.078072487261466,54.04410406037172,56.0947529270608,59.348734651638004,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,13,49.11456668896803,51.97158642342027,54.00607512086963,56.2076324899779,59.591398550455494,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,14,48.948239351133964,51.896276615984206,54.065438866123166,56.30377243688186,59.87893699988122,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,15,48.79865802493512,51.792618802515904,54.02455114018511,56.386317909374505,60.11471902215299,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,16,48.65013384465473,51.76802389997645,54.03138720148425,56.475684525334,60.253716501938854,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,17,48.55438055028341,51.6875931369721,54.0202621577573,56.555566700065945,60.46566721001755,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,18,48.32142335466745,51.6798003317613,54.06360874290459,56.68814880628069,60.71839785431931,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,19,48.18148361645913,51.674594011311505,54.08587829685542,56.7456546442949,60.872057118744245,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,20,48.029721426655854,51.6254650264173,54.1092912326516,56.82213453446146,60.998847126813594,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,21,47.911467765592185,51.549541626338865,54.12498418183378,56.86317973358188,61.21223629798076,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,22,47.83085896574263,51.50106633233685,54.108192875753204,56.96850643741752,61.38322151251051,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,23,47.78627350181185,51.492087342504725,54.15052235232719,57.0299025318954,61.618282517551826,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,24,47.69160216647112,51.415451239791786,54.17124874851169,57.11048149205357,61.75366007210957,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,25,47.60026013713675,51.33598248036088,54.14305386251134,57.23608453653069,62.00506329958306,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,26,47.45030447803892,51.2842099260821,54.16145064889322,57.25207718746073,62.09636642038808,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,27,47.3162877540734,51.22536770035149,54.18201172710665,57.32727592916114,62.29785608609512,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,28,47.25051501921673,51.184277188432596,54.220862452422175,57.456072757158054,62.57512005210512,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,29,47.06488232177554,51.108702610189695,54.23439115610353,57.54743164465236,62.667255597627424,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,30,46.968178325474454,51.08799833511078,54.20596926167423,57.57527500489795,62.79037426746754,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,31,46.73734548296943,51.03556466364446,54.2062581249538,57.62177197195193,62.93799310565644,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,32,46.685308838973384,50.99475338230431,54.23490626959911,57.65161393170271,63.104622081957885,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,33,46.56319565976767,50.985521738034905,54.205786240248855,57.72062190652684,63.47040514265342,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,34,46.42996238674151,50.97201009978967,54.242296408251086,57.84577611776031,63.49719315124734,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,35,46.449009651513734,50.933395880339354,54.25439329031379,57.929991318613844,63.551861410697526,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,36,46.321767072602505,50.899581941574304,54.23928191794311,57.96055389014106,63.82289339763116,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,37,46.28798220185798,50.85335159096043,54.25465075868868,58.0053603949591,63.83991739815447,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,38,46.106458689866095,50.81019626981675,54.32180013489537,58.059307871387475,64.00421289043737,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,39,46.04628851049784,50.69905695934696,54.249326855315765,58.11195378932297,64.1590049726148,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,40,45.88252158843803,50.706470701951105,54.31017992547515,58.21661344981929,64.34763060696805,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,41,45.72970098119973,50.670499362260266,54.30111089064343,58.23974350842737,64.59156124015884,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,42,45.71343123890327,50.62758970597679,54.330410695053075,58.34333903688465,64.69626494632314,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,43,45.56580057653686,50.58587752621414,54.316157608836136,58.39632791663634,64.74548695748966,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,44,45.520126435383425,50.48274427059626,54.33561903993417,58.4027610466003,64.88976480239269,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,45,45.46768851488846,50.44234130565617,54.304853627606505,58.484640252253236,65.0238953519377,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,46,45.4244576668328,50.46305918554322,54.373876833842175,58.56386512665372,65.19689000721212,53.9836
ABSL Small Cap Fund - Regular - Growth,101207,47,45.34813284718485,50.43669757832886,54.408659478748085,58.51814383023664,65.39387811898374,53.9836
