overall_rank,amfi_code,scheme_name,fund_house,sub_category,return_3yr_pct,sharpe_ratio,alpha_annualized,expense_ratio_pct,max_drawdown,fund_score
1,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,0.8832556184698851,0.2926358334175106,1.36,-0.18188513572116294,80.625
2,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,0.965560651744012,0.27330465038306057,1.45,-0.1297396816518679,79.0
3,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,0.7116901743847244,0.3033696538698332,1.43,-0.2870600572176455,76.25
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,0.8082678003905582,0.2719535450128533,1.38,-0.16217208574644848,76.25
5,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,1.0682238272314748,0.2698375144191807,1.46,-0.11265729075028275,75.0
6,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.08,0.7144216579881004,0.3005787817097677,1.52,-0.31171900300634214,70.3125
7,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,0.8328852279505937,0.26598577542043045,1.61,-0.17248105753451382,68.25
8,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,0.7305467735561738,0.2607666908004223,1.38,-0.20960883862039192,67.75
9,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,0.7146822636441219,0.2119482701352573,0.8,-0.12588275606922517,66.625
10,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,13.58,0.9190465356358307,0.2827036785246582,1.6,-0.1639674294693263,62.4375
11,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,14.0,0.7588510310771462,0.21829397904608644,1.51,-0.17414075086657232,61.3125
12,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,12.36,0.8609773262277788,0.23201007160635082,1.54,-0.1501238549864533,59.1875
13,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,13.78,0.7174089959890149,0.21399784776051212,1.6,-0.11291596329323073,57.8125
14,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.56,0.6406730942266664,0.20873010086942337,1.52,-0.1527259422823477,57.1875
15,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,20.15,0.29234325101099123,0.1750072167561127,1.53,-0.2334488614483311,56.6875
16,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,11.3,0.6482414723266909,0.1986859936686296,0.66,-0.11803493502764295,56.5
17,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,13.38,0.5062729716095971,0.17729754927531766,0.92,-0.15200013055606398,55.5
18,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,14.76,0.40461547832920547,0.1625385327998104,1.41,-0.1982565826298267,53.25
19,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,15.29,0.13479784106103962,0.11989100971217971,0.78,-0.21117279560132118,51.75
20,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,23.14,-0.13617811182970344,0.048824215945539845,0.72,-0.5257422117012851,51.5625
21,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,22.38,0.05261813647585498,0.10897091901704538,1.53,-0.3544691649336603,49.6875
22,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,12.33,0.3888288460001761,0.1564383594816967,0.72,-0.18629743138595511,49.5625
23,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,11.54,0.5165503915082109,0.17703302365844073,1.42,-0.13897862823061635,47.625
24,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,11.77,0.39318819691240464,0.1513635464823924,0.89,-0.1165062450540909,47.125
25,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,15.34,0.3846373345033857,0.16211256794033255,1.64,-0.21539827112383225,46.1875
26,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,12.1,0.5197971450361782,0.17048756803412696,1.57,-0.1085986215250232,46.0
27,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,20.98,-0.1516581586164406,0.048015953637759554,1.38,-0.5167775370852656,44.875
28,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,18.23,-0.05816681141492268,0.0780443887615508,1.56,-0.24003511326274884,44.0
29,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,12.82,0.23966336777285183,0.13173190226099432,1.54,-0.14844576917771746,40.6875
30,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,12.14,-0.047073256810759266,0.08232801295222093,0.75,-0.21751396370148224,38.5
31,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,15.61,-0.2948889128510907,0.028969397866379445,1.51,-0.2800112356639287,34.9375
